time;user;action;place
26-12-23 23:53:04;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:53:04;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:53:27;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:53:27;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:53:28;onizukal;Left-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:53:28;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 00:37:11;nakyss;Send-10-'3';Serveur test de Nakyss / général
27-12-23 00:37:42;nakyss;Send-3-'test';Serveur test de Nakyss / général
27-12-23 01:18:17;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 01:19:58;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 01:20:00;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 02:03:27;gringofrere;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 02:03:30;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 03:06:49;gringofrere;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 03:06:50;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 04:18:08;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 04:18:21;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 04:27:17;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 04:27:25;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:00:28;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:00:45;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:12:21;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:13:02;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:13:18;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:13:25;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
27-12-23 05:13:30;nakyss;Send-3-'oui';Serveur test de Nakyss / général
27-12-23 05:19:35;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 05:19:48;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 06:42:43;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 06:44:24;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 14:22:11;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 14:22:22;nakyss;Send-25-'TRIPLE MONSTRE';Les Boys / 💬-général
27-12-23 14:26:06;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 14:29:48;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 16:40:34;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 16:49:19;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 17:45:32;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 17:45:39;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 17:45:52;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 17:45:56;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 17:46:05;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 19:22:55;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 19:22:57;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 20:10:37;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:09:36;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:11:13;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:11:18;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:11:18;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:11:19;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:15:22;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 21:53:17;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 22:17:00;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 22:17:33;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 22:59:57;honeyy0229;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 23:12:37;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
27-12-23 23:29:22;honeyy0229;Left-Voice-Channel;Les Boys / OH C UN GATé
